epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.9775,1.06896,2.34793,1.19002,0.94023,0.18186,0.48607,0.29895,1.31297,2.67308,1.22374,0.000651852,0.000651852,0.000651852
2,158.189,1.0253,2.02929,1.13027,0.65384,0.59538,0.6815,0.43149,1.20731,2.12851,1.28601,0.00105745,0.00105745,0.00105745
3,236.881,1.01677,1.64694,1.13371,0.70387,0.33526,0.41076,0.23556,1.27787,1.69725,1.16852,0.00119905,0.00119905,0.00119905
4,313.369,0.94945,1.52218,1.10019,0.64421,0.39248,0.43073,0.28699,1.20234,1.39045,1.0061,0.000812,0.000812,0.000812
5,393.475,0.89656,1.44414,1.0839,0.76956,0.30058,0.42343,0.3117,1.03471,1.42993,0.90344,0.000416,0.000416,0.000416
