epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,902.746,1.09334,1.4501,1.03664,0.6574,0.54412,0.61682,0.45714,0.82789,2.74591,0.73409,0.0016634,0.0016634,0.0016634
19,949.025,1.04801,1.36714,1.01433,0.60891,0.68945,0.69627,0.47091,0.9341,2.64289,0.83416,0.0016436,0.0016436,0.0016436
20,995.45,1.06966,1.35391,1.01479,0.65106,0.72865,0.71934,0.53572,0.7674,2.54196,0.72021,0.0016238,0.0016238,0.0016238
21,1041.74,1.03787,1.39873,1.02009,0.61057,0.70588,0.69737,0.46299,0.91369,4.39421,0.76303,0.001604,0.001604,0.001604
22,1088.28,1.02668,1.37121,1.0121,0.71074,0.70752,0.75838,0.54189,0.80528,3.06997,0.7441,0.0015842,0.0015842,0.0015842
23,1134.65,1.02201,1.26211,1.02056,0.54144,0.61928,0.61908,0.43933,0.83376,2.93419,0.73356,0.0015644,0.0015644,0.0015644
24,1181.02,0.9883,1.26096,0.99062,0.62554,0.77451,0.72031,0.52601,0.75323,3.63711,0.68979,0.0015446,0.0015446,0.0015446
25,1227.38,1.02296,1.29341,0.9939,0.7407,0.8028,0.8211,0.61192,0.74239,3.00202,0.7153,0.0015248,0.0015248,0.0015248
26,1273.69,0.99519,1.23621,0.99434,0.55354,0.67157,0.63178,0.46681,0.75814,2.80122,0.73207,0.001505,0.001505,0.001505
27,1319.88,0.9817,1.35576,1.00047,0.54479,0.72549,0.66442,0.49671,0.80142,4.01818,0.7325,0.0014852,0.0014852,0.0014852
28,1366.05,0.98217,1.24188,0.98818,0.54876,0.59477,0.59276,0.43674,0.79472,4.92632,0.73256,0.0014654,0.0014654,0.0014654
29,1412.49,0.96003,1.16449,0.9783,0.55394,0.58333,0.6466,0.47701,0.77684,5.36493,0.7271,0.0014456,0.0014456,0.0014456
30,1458.79,0.98669,1.27293,0.99042,0.68852,0.78431,0.80188,0.61118,0.67027,3.40397,0.66506,0.0014258,0.0014258,0.0014258
31,1505.03,0.97095,1.28288,0.98916,0.65327,0.71078,0.68626,0.47022,0.89336,3.04374,0.75138,0.001406,0.001406,0.001406
32,1551.29,0.97114,1.42496,0.97874,0.65861,0.57056,0.66004,0.45472,0.91747,2.82054,0.77127,0.0013862,0.0013862,0.0013862
33,1597.69,0.98068,1.22391,1.0037,0.60185,0.60784,0.68024,0.50321,0.71933,4.78135,0.70677,0.0013664,0.0013664,0.0013664
34,1643.98,0.93317,1.21651,0.97923,0.60303,0.75654,0.71447,0.51809,0.74814,4.89191,0.70168,0.0013466,0.0013466,0.0013466
35,1690.2,0.93035,1.26161,0.97193,0.57132,0.5771,0.581,0.42682,0.79821,2.97119,0.7398,0.0013268,0.0013268,0.0013268
36,1736.48,0.9466,1.21881,0.97332,0.55765,0.7045,0.65399,0.48734,0.76823,2.91054,0.68402,0.001307,0.001307,0.001307
37,1782.77,0.93198,1.26603,0.97698,0.6292,0.6781,0.69917,0.5254,0.72427,3.82416,0.67721,0.0012872,0.0012872,0.0012872
38,1829.17,0.9141,1.26314,0.96566,0.58385,0.74346,0.67789,0.51472,0.7146,3.09912,0.6658,0.0012674,0.0012674,0.0012674
39,1875.35,0.92122,1.15244,0.97649,0.5576,0.67484,0.59425,0.42037,0.80325,5.36026,0.71468,0.0012476,0.0012476,0.0012476
40,1921.69,0.93118,1.16451,0.96889,0.61165,0.76434,0.69615,0.53708,0.68542,3.67064,0.65202,0.0012278,0.0012278,0.0012278
41,1967.95,0.88384,1.30757,0.9616,0.52708,0.61189,0.55534,0.40168,0.7492,2.63447,0.68992,0.001208,0.001208,0.001208
42,2014.26,0.93496,1.22648,0.97269,0.58969,0.5,0.54597,0.39494,0.84836,2.86371,0.73387,0.0011882,0.0011882,0.0011882
43,2060.32,0.92068,1.13421,0.97257,0.66951,0.78268,0.75436,0.55817,0.75103,3.1035,0.67746,0.0011684,0.0011684,0.0011684
44,2106.63,0.90332,1.15709,0.96223,0.57476,0.64542,0.6,0.45071,0.71313,4.21844,0.66708,0.0011486,0.0011486,0.0011486
45,2152.91,0.92302,1.18529,0.96964,0.60104,0.69771,0.65213,0.47363,0.78342,3.46166,0.70134,0.0011288,0.0011288,0.0011288
46,2199.25,0.89548,1.11056,0.96599,0.68789,0.80882,0.78298,0.58901,0.70881,3.86881,0.64072,0.001109,0.001109,0.001109
47,2245.41,0.91623,1.28846,0.97703,0.61458,0.70261,0.70262,0.50575,0.78093,4.41467,0.6933,0.0010892,0.0010892,0.0010892
48,2291.75,0.92482,1.14289,0.9721,0.66109,0.7451,0.70422,0.52501,0.71528,2.11029,0.67846,0.0010694,0.0010694,0.0010694
49,2338.19,0.90787,1.13627,0.96519,0.57109,0.66575,0.60691,0.44633,0.73483,2.22333,0.66798,0.0010496,0.0010496,0.0010496
50,2384.48,0.9109,1.11936,0.96938,0.60817,0.81863,0.75358,0.57113,0.68022,3.80333,0.65446,0.0010298,0.0010298,0.0010298
51,2430.77,0.89452,1.04269,0.96385,0.60992,0.7307,0.70237,0.53692,0.68777,3.43463,0.65313,0.00101,0.00101,0.00101
52,2477.18,0.89154,1.07634,0.97435,0.68696,0.82829,0.79607,0.62502,0.66705,3.60718,0.63948,0.0009902,0.0009902,0.0009902
53,2523.59,0.8853,1.11395,0.94879,0.68788,0.80392,0.76709,0.5931,0.66943,3.58345,0.6443,0.0009704,0.0009704,0.0009704
54,2569.73,0.92249,1.05765,0.97413,0.63269,0.7402,0.66713,0.51485,0.66837,3.23115,0.62813,0.0009506,0.0009506,0.0009506
55,2616.09,0.86114,1.16641,0.95227,0.63218,0.60458,0.63902,0.48385,0.76154,4.43861,0.6882,0.0009308,0.0009308,0.0009308
56,2662.47,0.86299,1.11967,0.95549,0.54642,0.69444,0.61553,0.44683,0.80231,3.68333,0.69205,0.000911,0.000911,0.000911
57,2708.85,0.88065,1.08861,0.95213,0.69508,0.8219,0.80217,0.58399,0.73446,2.96261,0.65052,0.0008912,0.0008912,0.0008912
58,2754.99,0.88219,1.13497,0.96036,0.69916,0.73668,0.73637,0.53696,0.74776,3.85321,0.66585,0.0008714,0.0008714,0.0008714
59,2801.31,0.88093,1.06852,0.96343,0.58194,0.73529,0.67915,0.51548,0.68612,3.34834,0.65053,0.0008516,0.0008516,0.0008516
60,2847.63,0.90115,1.07149,0.95853,0.55467,0.73366,0.61269,0.46054,0.73794,4.10343,0.66937,0.0008318,0.0008318,0.0008318
61,2893.95,0.85565,1.02269,0.95023,0.58964,0.81046,0.69591,0.52633,0.68882,3.75445,0.65657,0.000812,0.000812,0.000812
62,2940.09,0.88422,1.02377,0.9613,0.67297,0.74346,0.70781,0.5457,0.67883,3.95675,0.63362,0.0007922,0.0007922,0.0007922
63,2986.36,0.84626,1.19926,0.93168,0.59198,0.70588,0.67851,0.52847,0.68292,4.19013,0.64538,0.0007724,0.0007724,0.0007724
64,3032.62,0.84988,1.1605,0.94294,0.65382,0.76535,0.71858,0.5519,0.6969,3.13188,0.65742,0.0007526,0.0007526,0.0007526
65,3078.78,0.87853,1.06624,0.97575,0.65446,0.74183,0.73396,0.56352,0.66107,3.68966,0.63712,0.0007328,0.0007328,0.0007328
66,3124.88,0.86931,1.05127,0.95531,0.61053,0.74673,0.70444,0.54582,0.64846,3.69369,0.63818,0.000713,0.000713,0.000713
67,3171.18,0.84834,1.07629,0.95426,0.66751,0.69935,0.71217,0.54774,0.69816,4.32253,0.67485,0.0006932,0.0006932,0.0006932
68,3217.49,0.83705,1.02152,0.94809,0.66298,0.69752,0.70051,0.53686,0.6776,3.74601,0.64971,0.0006734,0.0006734,0.0006734
69,3263.52,0.82744,1.13903,0.93534,0.61535,0.70588,0.6565,0.49911,0.68578,4.73007,0.64636,0.0006536,0.0006536,0.0006536
70,3309.77,0.84158,0.99929,0.94023,0.65971,0.72222,0.71167,0.54571,0.65247,4.43879,0.63303,0.0006338,0.0006338,0.0006338
71,3356.1,0.82521,1.0276,0.94102,0.65769,0.73039,0.68793,0.51724,0.6922,3.20686,0.63111,0.000614,0.000614,0.000614
72,3402.36,0.84645,0.98553,0.95497,0.72753,0.73856,0.77156,0.59537,0.64034,3.52205,0.62091,0.0005942,0.0005942,0.0005942
73,3448.54,0.80676,1.03836,0.93591,0.68299,0.77124,0.74595,0.56371,0.68124,3.61014,0.64501,0.0005744,0.0005744,0.0005744
74,3494.85,0.83434,1.11396,0.94905,0.62161,0.66667,0.68629,0.5212,0.69627,3.35754,0.65217,0.0005546,0.0005546,0.0005546
75,3541.18,0.82902,0.97854,0.94212,0.66325,0.73693,0.74756,0.57762,0.6898,3.47769,0.64635,0.0005348,0.0005348,0.0005348
76,3587.49,0.82354,1.03859,0.93831,0.66557,0.7451,0.74302,0.57181,0.6445,3.17524,0.62103,0.000515,0.000515,0.000515
77,3633.64,0.82139,0.99785,0.93891,0.65428,0.70425,0.71097,0.54807,0.67328,3.5043,0.63871,0.0004952,0.0004952,0.0004952
78,3679.96,0.81602,0.96334,0.93791,0.64112,0.70588,0.70353,0.5429,0.68283,3.71373,0.63516,0.0004754,0.0004754,0.0004754
79,3726.33,0.78498,0.96198,0.93453,0.6346,0.74346,0.71157,0.53945,0.69491,3.93436,0.64241,0.0004556,0.0004556,0.0004556
80,3772.55,0.81487,0.96652,0.94243,0.67314,0.76307,0.76137,0.59622,0.65818,3.51716,0.63028,0.0004358,0.0004358,0.0004358
81,3818.77,0.81656,0.93155,0.93667,0.65437,0.75791,0.74808,0.57938,0.67263,3.6203,0.64944,0.000416,0.000416,0.000416
82,3865.07,0.80486,1.10078,0.9393,0.63002,0.7549,0.72061,0.55599,0.64734,3.87463,0.63185,0.0003962,0.0003962,0.0003962
83,3911.29,0.80675,0.93578,0.94716,0.57939,0.75851,0.67765,0.531,0.64087,4.51475,0.61082,0.0003764,0.0003764,0.0003764
84,3957.51,0.80883,1.03586,0.91755,0.67677,0.76978,0.77126,0.60361,0.64169,2.85018,0.62184,0.0003566,0.0003566,0.0003566
85,4003.79,0.79021,0.97127,0.93438,0.6645,0.73529,0.73038,0.56968,0.66126,3.81358,0.61988,0.0003368,0.0003368,0.0003368
86,4050.09,0.79971,0.96886,0.93954,0.65952,0.77451,0.73539,0.58235,0.63084,3.72482,0.61084,0.000317,0.000317,0.000317
87,4096.48,0.7866,0.97446,0.94321,0.66247,0.76005,0.74347,0.57654,0.64764,4.31952,0.61636,0.0002972,0.0002972,0.0002972
88,4142.64,0.78302,0.92222,0.94022,0.67484,0.76634,0.74047,0.57306,0.64681,3.85765,0.6217,0.0002774,0.0002774,0.0002774
89,4188.92,0.8067,0.93206,0.94177,0.63561,0.73366,0.72269,0.56445,0.64615,4.21595,0.62481,0.0002576,0.0002576,0.0002576
90,4235.22,0.77412,0.95674,0.93147,0.62292,0.7402,0.7143,0.56106,0.6319,3.94969,0.62296,0.0002378,0.0002378,0.0002378
91,4304.52,0.77678,1.17669,0.86,0.67139,0.73693,0.74264,0.58106,0.64671,3.1746,0.62009,0.000218,0.000218,0.000218
92,4350.34,0.78316,1.02182,0.89185,0.6744,0.71405,0.75653,0.5901,0.66902,3.14045,0.62183,0.0001982,0.0001982,0.0001982
93,4396.04,0.74391,1.0383,0.86166,0.64473,0.71569,0.75118,0.58563,0.65545,2.76041,0.61484,0.0001784,0.0001784,0.0001784
94,4442.21,0.73162,0.99443,0.86754,0.6594,0.7598,0.76691,0.59878,0.63925,3.20345,0.61466,0.0001586,0.0001586,0.0001586
95,4488.03,0.73174,0.93156,0.85702,0.71303,0.78268,0.80863,0.63653,0.63307,2.7471,0.6133,0.0001388,0.0001388,0.0001388
96,4533.99,0.75928,0.94022,0.89063,0.7036,0.7292,0.77927,0.60918,0.63419,2.77407,0.60833,0.000119,0.000119,0.000119
97,4579.86,0.75115,1.01941,0.8705,0.67717,0.73529,0.75871,0.59252,0.62994,3.15885,0.60732,9.92e-05,9.92e-05,9.92e-05
98,4625.92,0.72461,1.04629,0.83196,0.67666,0.76797,0.77499,0.60079,0.63791,2.45689,0.61068,7.94e-05,7.94e-05,7.94e-05
99,4672.16,0.72762,0.96155,0.86296,0.65024,0.77778,0.76977,0.60504,0.62808,2.60958,0.60532,5.96e-05,5.96e-05,5.96e-05
100,4718.6,0.72157,0.87718,0.84983,0.68444,0.76634,0.7792,0.61002,0.62929,2.96114,0.60694,3.98e-05,3.98e-05,3.98e-05
