epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.9546,1.44515,8.6224,1.27228,0.26368,0.44771,0.24726,0.09038,1.52249,24.671,1.5296,0.000663636,0.000663636,0.000663636
2,106.591,1.49356,2.00786,1.26239,0.52114,0.68791,0.52653,0.2839,1.31358,8.00422,1.1094,0.00131713,0.00131713,0.00131713
3,156.983,1.4417,1.89313,1.20143,0.5771,0.62657,0.58242,0.3696,1.19623,15.0755,1.03942,0.00195743,0.00195743,0.00195743
4,205.82,1.30021,1.62768,1.13929,0.6437,0.69078,0.65808,0.38824,1.17337,13.2549,1.10385,0.0019406,0.0019406,0.0019406
5,255.292,1.31776,1.839,1.12489,0.66599,0.73366,0.686,0.40204,1.14269,19.9267,0.93149,0.0019208,0.0019208,0.0019208
6,304.357,1.26907,1.78434,1.11801,0.55077,0.62582,0.60265,0.3922,1.01985,6.11075,0.90312,0.001901,0.001901,0.001901
7,352.962,1.23612,1.77338,1.10624,0.70041,0.68301,0.74385,0.53535,0.83054,3.93394,0.78579,0.0018812,0.0018812,0.0018812
8,401.545,1.17598,1.58508,1.09178,0.4965,0.5704,0.51693,0.35889,0.89122,5.17858,0.81944,0.0018614,0.0018614,0.0018614
9,449.792,1.19579,1.49069,1.07411,0.65448,0.72117,0.69034,0.4797,1.04037,5.82817,1.0113,0.0018416,0.0018416,0.0018416
10,498.192,1.14095,1.63327,1.05362,0.68493,0.76144,0.79174,0.59629,0.77048,3.78813,0.73989,0.0018218,0.0018218,0.0018218
11,548.323,1.09408,1.39617,1.04812,0.68036,0.68515,0.74701,0.54429,0.79109,2.74099,0.71891,0.001802,0.001802,0.001802
12,598.269,1.07228,1.61802,1.01229,0.73419,0.73115,0.80831,0.61697,0.77851,3.42425,0.74626,0.0017822,0.0017822,0.0017822
13,647.951,1.10145,1.57717,1.03389,0.63141,0.5962,0.67392,0.47617,0.89537,2.77731,0.73279,0.0017624,0.0017624,0.0017624
14,696.585,1.04764,1.47707,1.01462,0.67551,0.65033,0.69705,0.47469,0.85308,3.94151,0.78282,0.0017426,0.0017426,0.0017426
15,748.463,1.09748,1.48999,1.03546,0.61105,0.70336,0.69265,0.47499,0.88198,5.40533,0.78009,0.0017228,0.0017228,0.0017228
16,800.276,1.05362,1.28373,1.01522,0.60425,0.54388,0.6102,0.40301,0.96327,3.60377,0.82855,0.001703,0.001703,0.001703
17,854.683,1.03966,1.29637,1.01918,0.67702,0.71078,0.71709,0.50558,0.80599,4.85222,0.71064,0.0016832,0.0016832,0.0016832
