epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5626,1.37479,6.33926,1.36063,0.67647,0.7931,0.66523,0.43464,0.92476,15.1958,0.94089,0.000651852,0.000651852,0.000651852
2,26.2916,1.28481,1.82273,1.22603,0.10256,0.11494,0.06753,0.02021,2.30734,44.8523,2.551,0.00129241,0.00129241,0.00129241
3,37.8521,1.28028,1.47861,1.18251,0.03267,0.66092,0.03354,0.01189,2.0167,162.789,2.91571,0.00190657,0.00190657,0.00190657
4,49.622,1.2386,1.36745,1.15962,0.56567,0.75598,0.75613,0.53134,1.13188,3.79296,1.2518,0.0018812,0.0018812,0.0018812
5,60.7881,1.13124,1.25191,1.14521,0.44961,0.67816,0.56103,0.22957,1.52634,4.91014,1.40492,0.0018416,0.0018416,0.0018416
6,72.2356,1.09396,1.21716,1.10867,0.79124,0.8046,0.8721,0.60799,1.01902,1.7614,0.95721,0.001802,0.001802,0.001802
7,84.3602,1.06387,1.26849,1.10569,0.66732,0.87614,0.73126,0.53597,0.92591,1.24386,0.8598,0.0017624,0.0017624,0.0017624
8,96.3165,1.04858,1.18495,1.08648,0.54523,0.74138,0.63802,0.44303,1.06455,1.11678,0.9927,0.0017228,0.0017228,0.0017228
9,107.041,1.02416,1.06567,1.0568,0.83145,0.90722,0.89745,0.64755,0.96601,0.84239,0.91157,0.0016832,0.0016832,0.0016832
10,118.1,0.99951,1.10945,1.05864,0.88758,0.96552,0.94721,0.71837,0.8696,0.74386,0.83794,0.0016436,0.0016436,0.0016436
11,128.071,0.95576,1.02276,1.03788,0.82941,0.92214,0.93368,0.71354,0.83816,0.70403,0.82947,0.001604,0.001604,0.001604
12,138.038,0.96548,0.95778,1.02792,0.85226,0.93678,0.94697,0.72277,0.89382,0.73805,0.81841,0.0015644,0.0015644,0.0015644
13,148.602,0.93502,0.99126,1.05659,0.88652,0.94286,0.94892,0.725,0.82838,0.65058,0.7973,0.0015248,0.0015248,0.0015248
14,161.189,0.94301,0.97281,1.04198,0.86059,0.95402,0.94252,0.71327,0.82812,0.66519,0.80254,0.0014852,0.0014852,0.0014852
15,175.118,0.90117,0.96401,1.01806,0.92476,0.89655,0.94942,0.73703,0.85881,0.63294,0.83425,0.0014456,0.0014456,0.0014456
16,189.34,0.91489,0.99296,1.034,0.73732,0.8046,0.81769,0.61413,0.87864,0.79483,0.89173,0.001406,0.001406,0.001406
17,200.323,0.87784,0.9383,1.00131,0.85383,0.95402,0.9406,0.74624,0.79509,0.62353,0.79866,0.0013664,0.0013664,0.0013664
18,211.033,0.92536,1.06013,1.04388,0.89569,0.93766,0.94912,0.72451,0.85284,0.64482,0.80531,0.0013268,0.0013268,0.0013268
19,221.767,0.95862,1.01986,1.03826,0.85367,0.91379,0.92435,0.70052,0.87868,0.72009,0.86231,0.0012872,0.0012872,0.0012872
20,233.255,0.90363,0.96011,1.00462,0.87013,0.87931,0.93512,0.71824,0.8687,0.67928,0.83749,0.0012476,0.0012476,0.0012476
21,244.586,0.85303,0.88427,0.99328,0.91413,0.97126,0.95725,0.77352,0.74284,0.56849,0.77727,0.001208,0.001208,0.001208
22,255.743,0.82685,0.85893,1.01368,0.86818,0.94632,0.95042,0.74625,0.79048,0.57236,0.78584,0.0011684,0.0011684,0.0011684
23,266.777,0.85012,0.91588,1.00713,0.87518,0.95977,0.95017,0.73391,0.82475,0.65217,0.77352,0.0011288,0.0011288,0.0011288
24,277.914,0.83234,0.88827,0.98968,0.87436,0.96552,0.9484,0.74353,0.74739,0.59626,0.7337,0.0010892,0.0010892,0.0010892
25,289.855,0.78383,0.88507,0.98546,0.95477,0.97064,0.9679,0.77455,0.74509,0.50132,0.76138,0.0010496,0.0010496,0.0010496
26,301.703,0.8261,0.90158,1.01863,0.90455,0.95402,0.95547,0.75794,0.76948,0.5551,0.79068,0.00101,0.00101,0.00101
27,312.451,0.7747,0.81835,0.99787,0.93818,0.95943,0.96043,0.76735,0.74162,0.59297,0.74927,0.0009704,0.0009704,0.0009704
