epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,323.22,0.78442,0.83456,0.98411,0.89175,0.94828,0.94413,0.74194,0.83046,0.59856,0.80227,0.0009308,0.0009308,0.0009308
29,334.017,0.83962,0.89974,0.99489,0.88352,0.95977,0.9505,0.76354,0.75737,0.59412,0.75961,0.0008912,0.0008912,0.0008912
30,345.215,0.78623,0.81981,0.95737,0.90903,0.97701,0.95596,0.77819,0.76614,0.53713,0.75199,0.0008516,0.0008516,0.0008516
31,356.538,0.78799,0.82956,0.97948,0.91828,0.95402,0.95362,0.7424,0.78425,0.60078,0.788,0.000812,0.000812,0.000812
32,367.239,0.79604,0.8166,0.97747,0.91539,0.94253,0.95316,0.73634,0.84092,0.54417,0.79406,0.0007724,0.0007724,0.0007724
33,378.045,0.81174,0.81494,0.98709,0.87788,0.95028,0.94604,0.747,0.77371,0.56539,0.76937,0.0007328,0.0007328,0.0007328
34,389.879,0.76672,0.80247,0.99265,0.91542,0.95402,0.95711,0.75573,0.74964,0.50549,0.73739,0.0006932,0.0006932,0.0006932
35,400.629,0.75976,0.78533,0.97647,0.77995,0.94828,0.91802,0.72171,0.7785,0.59435,0.74934,0.0006536,0.0006536,0.0006536
36,411.479,0.75955,0.79865,0.9671,0.92476,0.91825,0.95925,0.7521,0.80745,0.57717,0.76608,0.000614,0.000614,0.000614
37,422.008,0.77283,0.79659,0.99612,0.93767,0.95105,0.95909,0.77371,0.75759,0.50699,0.76096,0.0005744,0.0005744,0.0005744
38,432.804,0.7284,0.77287,0.97707,0.93392,0.97701,0.96246,0.76975,0.74751,0.48821,0.75262,0.0005348,0.0005348,0.0005348
39,443.264,0.71616,0.73321,0.97654,0.87465,0.96244,0.9559,0.76835,0.75075,0.53172,0.73112,0.0004952,0.0004952,0.0004952
40,453.734,0.71813,0.75093,0.9645,0.91565,0.93587,0.95484,0.78174,0.71777,0.51339,0.73002,0.0004556,0.0004556,0.0004556
41,488.338,0.69126,0.81343,0.97696,0.92964,0.97126,0.96616,0.76897,0.75448,0.50337,0.74633,0.000416,0.000416,0.000416
42,498.605,0.64835,0.69749,0.98787,0.92306,0.96528,0.95956,0.76349,0.80447,0.5633,0.76948,0.0003764,0.0003764,0.0003764
43,508.865,0.69476,0.68466,0.96063,0.91706,0.96552,0.95788,0.75707,0.7617,0.5203,0.72798,0.0003368,0.0003368,0.0003368
44,519.295,0.68509,0.72163,0.95433,0.91816,0.94828,0.9645,0.76858,0.76136,0.52721,0.73457,0.0002972,0.0002972,0.0002972
45,529.773,0.69745,0.6576,0.95672,0.92012,0.95977,0.96068,0.78183,0.7253,0.50133,0.72844,0.0002576,0.0002576,0.0002576
46,541.788,0.6294,0.60681,0.9392,0.94245,0.94117,0.96501,0.78963,0.73838,0.51208,0.73309,0.000218,0.000218,0.000218
47,553.682,0.65273,0.6685,0.96929,0.92264,0.95962,0.96256,0.78727,0.74697,0.55971,0.73717,0.0001784,0.0001784,0.0001784
48,564.778,0.67745,0.68204,0.94207,0.93745,0.95402,0.96217,0.79929,0.71652,0.53461,0.71738,0.0001388,0.0001388,0.0001388
49,575.453,0.62646,0.71003,0.95322,0.93294,0.95977,0.96597,0.80183,0.73532,0.53442,0.71494,9.92e-05,9.92e-05,9.92e-05
50,586.22,0.66137,0.5726,0.93143,0.93264,0.95482,0.96758,0.81107,0.72259,0.51983,0.71064,5.96e-05,5.96e-05,5.96e-05
