epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2936,1.33554,3.44053,1.35576,0.83896,0.68862,0.8388,0.53081,0.99101,2.55656,1.09551,0.000651852,0.000651852,0.000651852
2,19.3929,1.10619,2.3535,1.14682,0.55017,0.75287,0.69449,0.44994,1.06627,3.20988,1.11624,0.00129241,0.00129241,0.00129241
3,26.9506,1.13036,2.04495,1.14172,0.60562,0.88506,0.83669,0.49686,1.17423,5.15041,1.40366,0.00190657,0.00190657,0.00190657
4,34.9865,1.19517,1.78562,1.20271,0.7644,0.75287,0.81294,0.57534,1.03194,1.79659,1.00079,0.0018812,0.0018812,0.0018812
5,42.4447,1.1252,1.50896,1.14816,0.71019,0.78867,0.83993,0.58953,1.01513,2.29337,0.98433,0.0018416,0.0018416,0.0018416
6,49.7926,1.07078,1.33714,1.08626,0.89759,0.95977,0.9523,0.70032,0.97032,0.93861,0.97349,0.001802,0.001802,0.001802
7,58.0657,1.01807,1.28945,1.09672,0.85843,0.92529,0.90229,0.63189,1.01073,1.03706,1.07066,0.0017624,0.0017624,0.0017624
8,65.665,1.04698,1.20023,1.08173,0.70286,0.75287,0.81017,0.53255,1.16122,1.39796,1.05304,0.0017228,0.0017228,0.0017228
9,73.7636,1.00886,1.13665,1.05226,0.86498,0.90805,0.93834,0.73645,0.88489,0.7791,0.85997,0.0016832,0.0016832,0.0016832
10,81.4186,1.03793,1.16297,1.07927,0.78519,0.94828,0.89315,0.65919,0.91508,0.82334,0.9153,0.0016436,0.0016436,0.0016436
11,88.8144,0.9469,1.05774,1.04554,0.85415,0.94828,0.93496,0.70103,0.87386,0.68237,0.88125,0.001604,0.001604,0.001604
12,96.1663,0.93203,1.00235,1.04053,0.85453,0.94528,0.94114,0.71737,0.84557,0.70936,0.8237,0.0015644,0.0015644,0.0015644
13,103.768,0.90864,1.02183,1.06946,0.93964,0.80522,0.92931,0.68731,0.87593,0.71718,0.89994,0.0015248,0.0015248,0.0015248
