epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,112.026,0.94002,1.06241,1.04942,0.86139,0.92861,0.93545,0.70533,0.91102,0.74708,0.88177,0.0014852,0.0014852,0.0014852
15,119.663,0.91132,0.99906,1.02881,0.81421,0.93189,0.93251,0.68882,0.92815,0.7274,0.846,0.0014456,0.0014456,0.0014456
16,127.68,0.90582,0.97717,1.02528,0.90585,0.94001,0.95358,0.74189,0.84944,0.63936,0.8496,0.001406,0.001406,0.001406
17,135.839,0.90197,0.93824,1.01782,0.91703,0.95402,0.95935,0.73302,0.86105,0.63605,0.85467,0.0013664,0.0013664,0.0013664
18,143.535,0.91589,1.06901,1.04724,0.86414,0.91379,0.93483,0.72146,0.83269,0.74286,0.90758,0.0013268,0.0013268,0.0013268
19,151.111,0.8693,0.98707,1.01872,0.88358,0.94253,0.94944,0.70874,0.97837,0.66675,0.90099,0.0012872,0.0012872,0.0012872
20,158.816,0.85687,0.92253,0.99685,0.88928,0.83333,0.92838,0.71289,0.86167,0.71709,0.8922,0.0012476,0.0012476,0.0012476
21,166.106,0.82152,0.87768,0.98876,0.88054,0.94253,0.95079,0.7729,0.76226,0.59718,0.77753,0.001208,0.001208,0.001208
22,172.97,0.82699,0.86872,1.01432,0.89037,0.93351,0.9551,0.76769,0.77002,0.61824,0.77145,0.0011684,0.0011684,0.0011684
23,180.255,0.82203,0.92222,0.99474,0.8916,0.90805,0.9521,0.72952,0.89598,0.77153,0.92046,0.0011288,0.0011288,0.0011288
24,187.921,0.82858,0.89387,0.99683,0.84539,0.94274,0.94338,0.74654,0.82991,0.63664,0.84332,0.0010892,0.0010892,0.0010892
25,195.669,0.81835,0.87039,1.00392,0.85999,0.94253,0.94441,0.73868,0.82221,0.5908,0.8119,0.0010496,0.0010496,0.0010496
26,203.429,0.80695,0.88577,1.01289,0.86226,0.89946,0.94027,0.75008,0.79594,0.71278,0.83558,0.00101,0.00101,0.00101
27,210.677,0.78261,0.81833,1.00252,0.92195,0.95977,0.95579,0.75971,0.77312,0.54852,0.78858,0.0009704,0.0009704,0.0009704
28,218.05,0.76964,0.84222,0.98081,0.89759,0.94253,0.94549,0.74681,0.82243,0.53563,0.79336,0.0009308,0.0009308,0.0009308
29,225.599,0.8053,0.85033,0.98686,0.89576,0.92529,0.94973,0.76457,0.73979,0.56368,0.78105,0.0008912,0.0008912,0.0008912
30,232.742,0.77073,0.80529,0.96053,0.89261,0.95543,0.95476,0.77035,0.78468,0.53526,0.77668,0.0008516,0.0008516,0.0008516
31,239.932,0.77082,0.77361,0.97898,0.93381,0.93678,0.95892,0.75446,0.78232,0.57248,0.82876,0.000812,0.000812,0.000812
32,247.617,0.77492,0.80927,0.97709,0.93142,0.93663,0.96166,0.74236,0.85491,0.53063,0.82077,0.0007724,0.0007724,0.0007724
33,255.234,0.77643,0.78227,0.9861,0.93227,0.94932,0.95787,0.78212,0.75928,0.52117,0.8014,0.0007328,0.0007328,0.0007328
34,262.406,0.73758,0.7548,0.98114,0.92752,0.94253,0.95273,0.76751,0.75422,0.55054,0.79148,0.0006932,0.0006932,0.0006932
35,269.598,0.73648,0.73341,0.97572,0.92268,0.96013,0.96138,0.7748,0.76776,0.5353,0.7586,0.0006536,0.0006536,0.0006536
36,276.905,0.74236,0.77571,0.96352,0.91598,0.93678,0.9556,0.76122,0.76116,0.54501,0.76237,0.000614,0.000614,0.000614
37,284.632,0.7445,0.74907,0.9824,0.93088,0.92881,0.96253,0.78434,0.73312,0.51007,0.76868,0.0005744,0.0005744,0.0005744
38,292.783,0.70397,0.73858,0.9677,0.92283,0.93678,0.96057,0.78065,0.71748,0.50943,0.75159,0.0005348,0.0005348,0.0005348
39,300.721,0.69917,0.69597,0.97406,0.93746,0.95402,0.96712,0.79179,0.72987,0.50766,0.76644,0.0004952,0.0004952,0.0004952
40,308.341,0.68273,0.73699,0.95361,0.88933,0.92367,0.94373,0.7407,0.80973,0.58058,0.80955,0.0004556,0.0004556,0.0004556
41,340.442,0.71054,0.78478,0.98248,0.90812,0.9657,0.95581,0.77487,0.76435,0.50473,0.79814,0.000416,0.000416,0.000416
42,347.347,0.66029,0.67768,0.99213,0.91641,0.95977,0.96005,0.78304,0.79346,0.58272,0.78612,0.0003764,0.0003764,0.0003764
43,354.232,0.70502,0.72074,0.96283,0.90241,0.97126,0.94909,0.75422,0.76988,0.52274,0.75054,0.0003368,0.0003368,0.0003368
44,362.515,0.69179,0.75248,0.94724,0.91041,0.93445,0.95012,0.7643,0.7422,0.54017,0.75222,0.0002972,0.0002972,0.0002972
45,370.079,0.66529,0.63536,0.94745,0.90647,0.94828,0.95785,0.77852,0.73328,0.51028,0.75074,0.0002576,0.0002576,0.0002576
46,377.277,0.62965,0.59454,0.93406,0.9226,0.95977,0.96608,0.79125,0.72811,0.48432,0.73805,0.000218,0.000218,0.000218
47,385.617,0.62711,0.64524,0.95742,0.93264,0.94828,0.96724,0.79936,0.73161,0.46277,0.74316,0.0001784,0.0001784,0.0001784
48,393.109,0.65919,0.65877,0.94195,0.93679,0.93103,0.96833,0.79802,0.7117,0.47411,0.72973,0.0001388,0.0001388,0.0001388
49,400.793,0.60356,0.62462,0.95317,0.92177,0.94804,0.96926,0.79798,0.70884,0.48247,0.7376,9.92e-05,9.92e-05,9.92e-05
50,408.509,0.6345,0.55776,0.93265,0.9222,0.95402,0.9712,0.80711,0.70464,0.47483,0.74002,5.96e-05,5.96e-05,5.96e-05
