epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.0418,1.44515,8.6224,1.27228,0.26368,0.44771,0.24726,0.09038,1.52249,24.671,1.5296,0.000663636,0.000663636,0.000663636
2,114.473,1.49263,1.99598,1.26748,0.40804,0.25342,0.23336,0.12381,1.1546,9.59345,1.0319,0.00130396,0.00130396,0.00130396
3,164.329,1.44279,1.95141,1.22417,0.44902,0.50163,0.39987,0.24344,1.45751,31.97,1.25438,0.00191789,0.00191789,0.00191789
4,216.863,1.30669,1.61795,1.13349,0.69691,0.69508,0.73715,0.44754,1.08959,4.86519,0.921,0.0018812,0.0018812,0.0018812
5,269.37,1.2902,1.82442,1.11207,0.63134,0.61111,0.59813,0.36904,1.15984,5.34007,0.89962,0.0018416,0.0018416,0.0018416
6,326.249,1.2641,1.74486,1.11241,0.86407,0.54412,0.67321,0.4694,1.02573,30.2697,0.91,0.001802,0.001802,0.001802
7,375.51,1.218,1.76653,1.08837,0.50169,0.53136,0.50104,0.3145,0.98926,5.53952,0.88109,0.0017624,0.0017624,0.0017624
8,425.766,1.1881,1.53702,1.08748,0.62962,0.53331,0.61408,0.43024,0.89774,3.03252,0.84152,0.0017228,0.0017228,0.0017228
9,477.351,1.14181,1.4235,1.04918,0.65711,0.65759,0.71504,0.52865,0.79183,3.1744,0.76193,0.0016832,0.0016832,0.0016832
10,529.817,1.15609,1.65934,1.05443,0.70918,0.75308,0.81275,0.60313,0.74833,3.41327,0.71876,0.0016436,0.0016436,0.0016436
11,581.565,1.09743,1.38523,1.04592,0.64727,0.74061,0.71293,0.48775,0.90627,2.64056,0.8138,0.001604,0.001604,0.001604
12,635.495,1.06278,1.57045,1.01013,0.62988,0.65033,0.69325,0.4797,0.83187,2.66521,0.78526,0.0015644,0.0015644,0.0015644
13,692.949,1.09696,1.55038,1.02675,0.63516,0.54901,0.65995,0.42943,1.02275,3.22683,0.77857,0.0015248,0.0015248,0.0015248
14,751.288,1.04327,1.41447,1.01697,0.58596,0.77778,0.67781,0.45798,0.82536,5.02067,0.74857,0.0014852,0.0014852,0.0014852
15,805.939,1.07674,1.45833,1.02999,0.60843,0.69311,0.70355,0.4934,0.87872,6.02149,0.77423,0.0014456,0.0014456,0.0014456
16,858.109,1.04104,1.27732,1.01757,0.69789,0.70425,0.76083,0.52851,0.8518,3.70086,0.75995,0.001406,0.001406,0.001406
17,910.65,1.04569,1.26568,1.02624,0.74263,0.73081,0.82006,0.59792,0.77336,3.39128,0.72308,0.0013664,0.0013664,0.0013664
18,963.436,1.087,1.41059,1.03137,0.54377,0.49837,0.56182,0.41826,0.78832,3.11042,0.70159,0.0013268,0.0013268,0.0013268
19,1013.17,1.02695,1.31922,1.00491,0.7102,0.72222,0.78191,0.57287,0.7989,2.30484,0.76672,0.0012872,0.0012872,0.0012872
20,1062.85,1.01697,1.30125,0.99249,0.63787,0.58715,0.65225,0.49416,0.76217,2.43831,0.73219,0.0012476,0.0012476,0.0012476
21,1111.44,0.99796,1.32107,1.00009,0.67253,0.71477,0.75328,0.56501,0.7629,4.34866,0.69158,0.001208,0.001208,0.001208
22,1164.52,1.01568,1.34507,1.01171,0.71979,0.69255,0.7505,0.52385,0.83436,3.0858,0.76395,0.0011684,0.0011684,0.0011684
23,1221.81,1.00803,1.25954,1.0136,0.58595,0.66667,0.69538,0.50576,0.81694,3.10752,0.72434,0.0011288,0.0011288,0.0011288
24,1273.58,0.97109,1.18587,0.98086,0.69414,0.64526,0.71001,0.52849,0.7495,3.60209,0.69509,0.0010892,0.0010892,0.0010892
25,1322.21,0.97101,1.28602,0.97899,0.73526,0.71732,0.78905,0.59507,0.76066,3.3956,0.7377,0.0010496,0.0010496,0.0010496
26,1371.82,0.94444,1.20251,0.97938,0.67238,0.59314,0.66705,0.4951,0.75715,2.49613,0.7015,0.00101,0.00101,0.00101
27,1420.71,0.94857,1.33826,0.98924,0.67837,0.77887,0.77381,0.58241,0.74949,4.61068,0.69157,0.0009704,0.0009704,0.0009704
28,1469.28,0.92649,1.20556,0.97057,0.57541,0.61275,0.58125,0.44003,0.73749,3.40586,0.7022,0.0009308,0.0009308,0.0009308
29,1525.36,0.91665,1.13535,0.96375,0.63753,0.72876,0.76758,0.59358,0.69498,5.66816,0.7194,0.0008912,0.0008912,0.0008912
30,1578.6,0.94672,1.22821,0.97366,0.6927,0.72192,0.77881,0.60274,0.69632,3.19128,0.67528,0.0008516,0.0008516,0.0008516
